,Unnamed: 0,Date,Time(s),Height,LWC,LWC_sd,Mean_Doppler_Velocity,Mean_Doppler_Velocity_sd,Spectral_width,Spectral_width_sd,Reflectivity,Reflectivity_sd,Extinction,Temperature,CCN,T(K),"CDC_pinsky,k=0.3","Smax,k=0.3","CDC_pinsky,k=0.4","Smax,k=0.4","CDC_pinsky,k=0.5","Smax,k=0.5","CDC_pinsky,k=0.6","Smax,k=0.6","CDC_pinsky,k=0.7","Smax,k=0.7","CDC_pinsky,k=0.8","Smax,k=0.8","CDC_pinsky,k=0.9","Smax,k=0.9","CDC_pinsky,k=1.0","Smax,k=1.0",CDC_Fan
125,125,20110514,30300.0,974.9999389648438,0.22207657,0.058816205999999996,-0.26085705,0.62199557,0.3053931,0.108817354,-37.301629999999996,2.1400997999999998,45.12751007080078,1.5800608396530151,268.1533203125,274.74006083965304,314.34526732688227,1.698553215159621,328.53390007989424,1.6614700850360296,342.1524005672322,1.6280690679365688,355.2238495476924,1.5978336483545306,367.7718872964358,1.5703387826453534,379.8201963151835,1.5452316461245048,391.3921355195417,1.5222170195450664,402.5104868212009,1.501046067048971,232.9317267773674
126,126,20110514,30900.0,974.9999389648438,0.21864937,0.055368803,-0.071528815,0.6891456,0.3206728,0.12224821,-37.402454,2.0472240000000004,48.46090698242188,1.4962918758392334,261.78799438476557,274.65629187583926,239.18187538552678,0.7400512610373747,233.2563186071115,0.7493923025208842,227.93454756186085,0.7580901586293697,223.1299733881771,0.766208524725355,218.77164039116866,0.7738030278730681,214.8008786756173,0.7809224526487444,211.16877594780553,0.7876097525457784,207.83424502719853,0.793902888922141,297.5693295023879
127,127,20110514,31500.0,974.9999389648438,0.24448726,0.06185129,-0.25305313,0.5998986,0.2996679,0.09887972,-37.053104,2.0276240000000003,47.35377502441406,1.4120464324951172,261.78799438476557,274.57204643249514,306.4970653946399,1.6914350111722318,320.2193686849159,1.6547968201658,333.3858562960231,1.6217910170886334,346.019539894926,1.591908728574085,358.1438726275272,1.5647310963285181,369.78226332998435,1.5399103502220517,380.95773519634264,1.5171554379980665,391.6926913396039,1.4962209869865528,222.0554137302712
128,128,20110514,32100.0,974.9999389648438,0.20972402,0.054892252999999995,0.1922662,0.49473894,0.27917670000000006,0.09351935,-37.94339,2.1280165,46.4703369140625,1.348397970199585,261.78799438476557,274.5083979701996,290.6289786955923,1.4167633038347085,299.18996574349575,1.3963466432683482,307.2886246630289,1.3778232708572167,314.9587492711562,1.360942945568684,322.231316182714,1.345497467747216,329.13469550709436,1.3313122390178453,335.6948625152292,1.3182397706051747,341.93560255490183,1.3061546361531715,285.1944889985569
129,129,20110514,32700.0,974.9999389648438,0.18085147,0.04761165,-0.13921893,0.59670794,0.280927,0.09799788,-38.413067,2.3422117,42.45452880859375,1.3360453844070437,261.78799438476557,274.49604538440707,272.8709024005572,1.1482197272988683,276.031922887797,1.1416262923045488,278.9723930006265,1.1355937765641295,281.7144677080879,1.130053597238536,284.2774515800424,1.1249479041087889,286.678239372953,1.1202275608661894,288.93167804534403,1.1158505651976718,291.0508659199561,1.1117808003532097,292.44082612246234
130,130,20110514,33300.0,974.9999389648438,0.41084960000000004,0.08693644,-0.25964916,0.4990313,0.30242798,0.089288145,-32.003215999999995,1.8625696,31.78126716613769,1.3666040897369385,271.5599975585937,274.52660408973696,318.15246491284563,1.6952418067341868,332.45887439540894,1.6583658087813418,346.1882767829018,1.6251487634629926,359.3642781549855,1.5950777162005154,372.01100058160785,1.5677305052395778,384.15256753528274,1.5427566607447818,395.81274105580405,1.519862904675931,407.01467137262614,1.4988020144049599,23.771572069235344
131,131,20110514,33900.0,1050.0,0.3886167,0.10152803,-0.23551357,0.6334553,0.31936659999999994,0.112622745,-32.933296,2.6814945,104.3331298828125,1.3675494194030762,262.75,274.5275494194031,303.30996176747,1.6136642048168535,315.64901475196984,1.5818098786872081,327.4438068520567,1.5530595629845263,338.7221198152711,1.526984832332194,349.5110779603008,1.5032320606526777,359.8368712292003,1.4815068762066514,369.72458397492494,1.461562319777117,379.1980990062386,1.443189720290157,940.0128743575572
132,132,20110514,34500.0,1050.0,0.35030282,0.084370695,0.17515384,0.52769876,0.31652564,0.12486304,-33.188305,1.9450816000000002,97.39324188232422,1.4012799263000488,250.56198120117188,274.5612799263001,274.570632815084,1.3566350530601854,281.6389203780062,1.3395031559935893,288.30234185503207,1.3239329516093186,294.59303668478464,1.309721141709111,300.54007545379227,1.296698119588918,306.1697722800072,1.2847212895273796,311.50597027882515,1.2736699111060008,316.5702996577274,1.2634410780922054,941.0424457390251
133,133,20110514,35100.0,1050.0,0.34894082,0.08165307,-0.08939168,0.5971479999999999,0.30559245,0.106490314,-32.822421999999996,1.9903923,100.82893371582031,1.4374918937683103,250.56198120117188,274.59749189376834,240.6325562851612,0.8739046180876218,237.94489275153123,0.8788262750301287,235.49876295266318,0.8833786761008483,233.26312252306136,0.8876018203398914,231.2120130197275,0.8915301385425697,229.3235639882329,0.8951934283529948,227.5792206237077,0.8986176072858818,225.9631397992507,0.9018253236824022,1052.3543044488042
134,134,20110514,35700.0,1050.0,0.3326205,0.07376539,-0.008399710999999999,0.5310298000000001,0.302717,0.10727561,-32.427685,1.7930843999999997,108.53289794921876,1.482206106185913,250.56198120117188,274.64220610618594,151.43769112801732,0.1866649095069512,131.67071784783855,0.20018663169130266,115.77212612152898,0.2134900649613035,102.80581395864348,0.22655353129906625,92.09849909402456,0.23936100385055348,83.15707864577263,0.2519010988178838,75.61444092465847,0.2641662317638215,69.19317070950754,0.2761519141004619,1444.4289587293454
